major,smartphone age,number countries,Avengers: Endgame,Back to the Future,Barbie,Booksmart,Deadpool and Wolverine,Die Hard,Dune,Encanto,Everything Everywhere All at Once,Get Out,Inside Out 2,Interstellar,Jurassic Park,Knives Out,Lady Bird,Mad Max: Fury Road,My Neighbor Totoro,Oppenheimer,Poor Things,Spider-Man: Into the Spiderverse,Star Wars: A New Hope,The Matrix,To All The Boys I've Loved
ME,12,3.0,4,3,4,,,,5,3,,,,5,4,,,5,5,5,5,5,5,5,
BME,13,1.0,4,3,4,,4,,,4,,4,,,3,3,3,,4,,,4,3,3,3
EE,14,2.0,5,,5,,5,,3,,,,,,,,,,,,,,,,
BME,11,0.0,,,5,,,,,4,,,,,,,5,,,,,,,,4
ME,14,18.0,5,5,4,,5,5,,5,5,4,4,4,4,3,,,5,5,,5,4,4,
BME,12,8.0,4,,5,,,,4,,,,,,,,,,,,,,,,
BME,12,12.0,3,,4,,2,5,,4,1,,,,,,,,,,,,,,
CE,11,3.0,5,,5,4,5,4,4,5,5,,,,,,,,,,,,,,
BME,13,20.0,,,2,,,,3,4,5,,,,,,,,,,,,,,
EE,18,9.0,,,,,,3,4,3,,,,,,,,,,,,,,,
ME,13,10.0,5,5,5,,,4,4,,,4,,5,5,4,,5,5,,,4,,5,
CE,12,4.0,4,,5,,,3,4,3,2,,,,,,,,,,,,,,
CE,15,,5,,5,,5,4,5,4,5,,,,,,,,,,,,,,
BME,14,,5,,5,5,5,5,3,5,3,,,,,,,,,,,,,,
CE,13,12.0,,,2,,,,,5,,,5,,,,,,,,,,,,
BME,10,1.0,3,5,5,,,4,,3,,,,,3,,,,,,,,2,4,2
BME,13,1.0,4,,5,,4,,,5,,,,,,,,,,,,,,,
BME,12,3.0,5,5,4,,,,4,4,5,,4,5,,5,,,,5,,4,4,5,
BME,14,0.0,4,,,,3,4,5,3,5,,,,,,,,,,,,,,
BME,14,4.0,,,5,4,5,,,3,,4,,,3,4,3,3,5,,,5,3,,4
BME,14,38.0,4,,4,,,,2,4,,,,,,,,,,,,,,,
BME,13,3.0,4,,3,,,3,,,4,,,,,,,,,,,,,,
CE,13,12.0,5,,5,4,,,,,,,,,,,,,,,,,,,
BME,12,2.0,,,4,,,,5,,5,,,,,,,,,,,,,,
BME,12,2.0,5,4,,,5,4,4,4,5,5,,4,3,5,,5,,5,,5,3,3,
EE,11,12.0,4,,,,2,5,5,,4,,,,,,,,,,,,,,
EE,13,2.0,4,,4,,,,4,5,5,,,,,,,,,,,,,,
CE,11,4.0,,,4,,,4,,5,5,5,5,5,4,,,,5,5,,5,,5,3
ME,12,26.0,4,,4,,,,,3,,,,,,,,,,,,,,,
ME,10,7.0,4,,5,4,,,4,3,5,,,,,,,,,,,,,,
ME,12,1.0,5,4,4,3,4,4,4,4,3,3,4,4,3,5,3,2,4,4,2,5,2,3,3
ME,15,2.0,5,,3,,,,3,3,4,,,5,,5,,,,,,5,4,,
CE,13,2.0,4,,,,5,,5,,5,4,3,,5,,,,,5,,5,,5,2
BME,13,6.0,,,5,,,,,4,4,,,,,,,,,,,,,,
ME,14,6.0,3,,,,,5,3,,4,,,,,,,,,,,,,,
BME,13,1.0,4,3,4,4,,,,4,5,5,,4,4,5,5,4,,3,,5,5,3,
ME,11,7.0,4,3,5,,,,,4,5,,5,5,2,,3,,,1,,5,,3,3
ME,13,2.0,4,,2,,,,,,,,,,,,,,,,,,,,
ME,13,5.0,5,5,3,,,,5,,,5,,5,5,4,,,,5,,4,4,4,
CE,8,6.0,4,4,3,4,5,4,4,,3,,4,5,4,,,,,4,,5,,4,
CE,10,11.0,4,,4,3,4,,5,5,,,,,,,,,,,,,,,
BME,11,6.0,4,,,4,4,,5,,4,,,,,,,,,,,,,,
BME,13,3.0,4,,5,,,3,5,,,,,,,,,,,,,,,,
CE,13,10.0,5,,4,,4,4,5,4,,,,,,,,,,,,,,,
BME,12,4.0,5,,5,,,,,4,4,,,,,,,,,,,,,,
BME,14,5.0,4,5,4,,,5,,4,,,4,,,5,4,,,,,4,,,
BME,9,9.0,5,,5,5,5,,,5,5,,5,5,5,5,,,5,,,5,5,5,
ME,11,3.0,,,,,,,,5,5,,,5,,,,,5,,,5,4,,
BME,12,15.0,5,,4,,,5,5,,4,,,,,,,,,,,,,,
ME,14,11.0,4,,,,,,,,4,,,,,,,,,,,,,,
CE,10,12.0,,,5,,,,,,,,,,4,,,,,,,,,,5
BME,10,17.0,,4,5,,,,1,,,,,4,4,5,,,,,,,,,
BME,12,20.0,4,,3,,,,3,3,4,,,,,,,,,,,,,,
CE,15,14.0,4,4,5,,,4,4,3,3,4,3,5,4,4,4,,,,,4,,,4
ME,12,2.0,,,,,,,,,,,,,,,,,,,,,,,
CE,12,18.0,5,,5,5,,,4,,4,,,,,,,,,,,,,,
BME,10,32.0,5,,3,,4,,2,,5,,,,,,,,,,,,,,
BME,12,8.0,5,,2,,5,3,5,3,,,,,,,,,,4,,3,2,4,
